the_geom,the_geom_webmercator,objectid,year,dc_key,code,date_,time,race,sex,age,wound,officer_involved,offender_injured,offender_deceased,location,latino,point_x,point_y,dist,inside,outside,fatal,lat,lng
0101000020E610000065481D36B4CE52C0F35C3A41F6FA4340,0101000020110F0000B7501D5842F25FC1517A3910508A5241,376142,2017,201719014052.0,0411,2017-02-18,21:15:00,B,M,15,thigh,N,N,N,0 BLOCK N Conestoga St,0,2674887.45132439,238599.59884022,19,0,1,0,39.9606401,-75.22974923
0101000020E610000065481D36B4CE52C0F35C3A41F6FA4340,0101000020110F0000B7501D5842F25FC1517A3910508A5241,376143,2017,201719014053.0,0411,2017-02-18,21:15:00,B,M,16,chest,N,N,N,0 BLOCK N Conestoga St,0,2674887.45132439,238599.59884022,19,0,1,0,39.9606401,-75.22974923
0101000020E610000065481D36B4CE52C0F35C3A41F6FA4340,0101000020110F0000B7501D5842F25FC1517A3910508A5241,376144,2017,201719014054.0,0411,2017-02-18,21:15:00,B,M,16,back,N,N,N,0 BLOCK N Conestoga St,0,2674887.45132439,238599.59884022,19,0,1,0,39.9606401,-75.22974923
0101000020E6100000654E7E2864CE52C02CC56547F0FA4340,0101000020110F00003E12A35DBAF15FC12C551B71498A5241,376145,2017,201719018839.0,0300,2017-03-06,23:42:00,B,M,54,head,N,N,N,0 BLOCK N 52nd St,0,2676258.46531464,238572.30952473,19,0,1,0,39.96045773,-75.22486317
0101000020E6100000B0FAA74467D152C0043DB3A8F8FC4340,0101000020110F0000F7D3782CD8F65FC18FA48A1C8A8C5241,376146,2017,201719019858.0,0411,2017-03-10,01:45:00,B,M,29,leg,N,N,N,1800 BLOCK N 77th St,0,2662908.07698922,243981.42633115,19,0,1,0,39.97633847,-75.27192799
0101000020E6100000FBFD280B9BCF52C0C9A302C430FB4340,0101000020110F0000DE61996FCAF35FC13EC498E5908A5241,376147,2017,201719025055.0,0411,2017-03-28,01:00:00,B,M,37,multi/face,N,N,N,6100 BLOCK Market St,0,2670921.16266905,239137.42388006,19,0,1,0,39.96242571,-75.24383811
0101000020E6100000DDE75B93ECCE52C0D979D97ECBFC4340,0101000020110F00006F74A315A2F25FC1E153AF0E588C5241,376148,2017,201719025691.0,0411,2017-03-29,21:01:00,B,M,25,thigh,N,N,N,5500 BLOCK Media St,0,2673774.82887772,243786.53466056,19,1,0,0,39.97496019,-75.23318943
0101000020E6100000437C37488ECE52C0597168995EF94340,0101000020110F00001A53E0EA01F25FC1711E6E678C885241,374834,2016,201618038243.0,0411,2016-05-25,23:43:00,B,M,41,leg,N,N,N,700 BLOCK S 52nd St,0,2675665.57247156,234088.0632439,18,1,0,0,39.94819944,-75.22743421
0101000020E610000009D0213679CF52C0575EF23F79FA4340,0101000020110F00002BB2F8F790F35FC15DBA5F8EC5895241,374835,2016,201618045301.0,0411,2016-06-20,12:06:00,B,M,16,thigh,N,N,N,200 BLOCK S 60th St,0,2671557.70240647,237114.52831957,18,0,1,0,39.95682525,-75.24177316
0101000020E61000007D6A481E80CF52C0CC36A241ABFA4340,0101000020110F00003C805AB39CF35FC139FB93F6FC895241,374836,2016,201618047198.0,0111,2016-06-26,11:46:00,B,M,24,multi/head,N,N,N,200 BLOCK S  Edgewood St,0,2671423.78600764,237666.87367156,18,0,1,1,39.95835133,-75.24219472
